title,price,type
"JVC Projector Ballast Repair Or Service. DLA-X3, X7,  X9, X30, X70, X90,",80.0,Buy it now
JVC DLA-QX1G D-ILA  Control Panel,160.37,Buy it now
JVC DLA-QX1G D-ILA Control Panel,162.46,Buy it now
JVC DLA-QX1G D-ILA POWER SUB PB ASSY,162.46,Buy it now
JVC DLA-QX1G D-ILA DPC PB ASSY,162.46,Buy it now
JVC AV-P700 High Performance Visual Presenter 11x Power Zoom *Working*,134.66,Buy it now
JVC Reference Series 1080P RS-10u D-ILA Projector - works Great!!!,181.87,or Best Offer
JVC Visual Presenter AV-P700,140.33,or Best Offer
JVC DLA-QX1G D-ILA  POWER SUB PB ASSY ,160.37,Buy it now
JVC DLA-QX1G D-ILA DPC PB  ASSY ,160.37,Buy it now
