title,price,type
"JVC Projector Ballast Repair Or Service. DLA-X3, X7,  X9, X30, X70, X90,",80.0,Buy it now
JVC DLA-QX1G D-ILA  Control Panel,162.17,Buy it now
JVC DLA-QX1G D-ILA Control Panel,164.32,Buy it now
JVC DLA-QX1G D-ILA POWER SUB PB ASSY,164.32,Buy it now
JVC DLA-QX1G D-ILA DPC PB ASSY,164.32,Buy it now
JVC AV-P700 High Performance Visual Presenter 11x Power Zoom *Working*,136.17,Buy it now
JVC Reference Series 1080P RS-10u D-ILA Projector - works Great!!!,174.17,or Best Offer
JVC Visual Presenter AV-P700,141.9,or Best Offer
JVC DLA-RS1 807 Lamp Hours  Projector,194.6,Was: Previous price£243.25  20% off
JVC DLA-QX1G D-ILA  POWER SUB PB ASSY ,162.17,Buy it now
JVC DLA-QX1G D-ILA DPC PB  ASSY ,162.17,Buy it now
